rx_ts_sec,src_ip,src_port,apid_hex,type,seq,total_bytes,shf,sec_mode,sec_len,mic_state,mic_value,user_len,note
1761179345.588705,127.0.0.1,49482,0x07f,TM,33,70,1,fixed:8,8,none,,56,
1761179345.590916,127.0.0.1,49482,0x0b3,TC,34,144,1,ns8,8,none,,130,
1761179345.593143,127.0.0.1,49482,0x07f,TM,34,70,1,fixed:8,8,none,,56,
1761179345.595288,127.0.0.1,49482,0x0b3,TC,35,144,1,ns8,8,none,,130,
1761179345.597466,127.0.0.1,49482,0x07f,TM,35,70,1,fixed:8,8,none,,56,
1761179345.599655,127.0.0.1,49482,0x0b3,TC,36,144,1,ns8,8,none,,130,
1761179345.602016,127.0.0.1,49482,0x07f,TM,36,70,1,fixed:8,8,none,,56,
1761179345.604207,127.0.0.1,49482,0x0b3,TC,37,144,1,ns8,8,none,,130,
1761179345.606328,127.0.0.1,49482,0x07f,TM,37,70,1,fixed:8,8,none,,56,
1761179345.608465,127.0.0.1,49482,0x0b3,TC,38,144,1,ns8,8,none,,130,
1761179345.610584,127.0.0.1,49482,0x07f,TM,38,70,1,fixed:8,8,none,,56,
1761179345.612693,127.0.0.1,49482,0x0b3,TC,39,144,1,ns8,8,none,,130,
1761179345.614814,127.0.0.1,49482,0x07f,TM,39,70,1,fixed:8,8,none,,56,
1761179345.616904,127.0.0.1,49482,0x0b3,TC,40,144,1,ns8,8,none,,130,
1761179345.618989,127.0.0.1,49482,0x07f,TM,40,70,1,fixed:8,8,none,,56,
1761179345.621125,127.0.0.1,49482,0x0b3,TC,41,144,1,ns8,8,none,,130,
1761179345.623204,127.0.0.1,49482,0x07f,TM,41,70,1,fixed:8,8,none,,56,
1761179345.625278,127.0.0.1,49482,0x0b3,TC,42,144,1,ns8,8,none,,130,
1761179345.627379,127.0.0.1,49482,0x07f,TM,42,70,1,fixed:8,8,none,,56,
1761179345.629471,127.0.0.1,49482,0x0b3,TC,43,144,1,ns8,8,none,,130,
1761179345.631593,127.0.0.1,49482,0x07f,TM,43,70,1,fixed:8,8,none,,56,
1761179345.633696,127.0.0.1,49482,0x0b3,TC,44,144,1,ns8,8,none,,130,
1761179345.635871,127.0.0.1,49482,0x07f,TM,44,70,1,fixed:8,8,none,,56,
1761179345.637933,127.0.0.1,49482,0x0b3,TC,45,144,1,ns8,8,none,,130,
1761179345.640019,127.0.0.1,49482,0x07f,TM,45,70,1,fixed:8,8,none,,56,
1761179345.642262,127.0.0.1,49482,0x0b3,TC,46,144,1,ns8,8,none,,130,
1761179345.644461,127.0.0.1,49482,0x07f,TM,46,70,1,fixed:8,8,none,,56,
1761179345.646601,127.0.0.1,49482,0x0b3,TC,47,144,1,ns8,8,none,,130,
1761179345.648748,127.0.0.1,49482,0x07f,TM,47,70,1,fixed:8,8,none,,56,
